issue_id,issue_type,priority,description_length,num_comments,time_to_resolve_hours,time_in_progress_hours,lines_added,lines_deleted,lines_updated_est,total_files_changed,num_commits
CALCITE-6813,Bug,Minor,550,5,60.87777777777778,,120,39,39,7,2
CALCITE-6812,Improvement,Major,201,2,112.23194444444445,,61,4,4,5,1
CALCITE-6810,Bug,Minor,131,3,3.4208333333333334,,11,14,11,5,1
CALCITE-6806,Task,Major,525,3,48.56472222222222,48.385485833333334,39,0,0,1,1
CALCITE-6805,Improvement,Major,237,6,75.90777777777778,,48,0,0,6,1
CALCITE-6804,Bug,Major,2266,9,360.2730555555556,,76,1,1,2,1
CALCITE-6803,Task,Minor,1254,1,61.35472222222222,,4,7,4,4,1
CALCITE-6801,Improvement,Minor,165,2,106.64333333333333,,3,0,0,1,1
CALCITE-6800,Improvement,Major,296,5,132.4322222222222,,125,117,117,3,1
CALCITE-6796,Improvement,Minor,505,5,1085.4491666666668,,15,0,0,2,1
CALCITE-6794,Task,Trivial,1373,1,81.75944444444444,,162,87,87,6,1
CALCITE-6791,Bug,Major,355,5,61.64888888888889,,100,11,11,9,1
CALCITE-6790,Bug,Trivial,645,4,82.69333333333333,4.586508333333334,14,0,0,2,1
CALCITE-6788,Improvement,Major,709,12,1287.7530555555556,59.97442861111111,157,28,28,3,1
CALCITE-6786,Bug,Major,1022,2,165.7875,,94,45,45,4,1
CALCITE-6785,Bug,Major,1028,2,156.50833333333333,,50,12,12,5,1
CALCITE-6782,Task,Minor,137,2,0.9036111111111111,0.900918611111111,4,4,4,3,1
CALCITE-6780,Bug,Minor,712,6,190.4413888888889,,28,19,19,5,1
CALCITE-6779,Bug,Minor,190,2,16.89611111111111,,35,8,8,4,1
CALCITE-6778,Bug,Major,3797,5,176.6863888888889,,62,38,38,2,1
CALCITE-6777,Bug,Minor,186,2,13.081388888888888,12.988648055555556,12,5,5,2,1
CALCITE-6776,Bug,Major,566,2,108.47361111111111,,275,17,17,2,1
CALCITE-6775,Bug,Major,825,2,5.513333333333334,0.7661880555555556,31,5,5,2,1
CALCITE-6774,Bug,Major,430,2,21.765,,92,2,2,6,1
CALCITE-6771,Improvement,Major,557,4,26.7375,,24,1,1,2,1
CALCITE-6770,Improvement,Minor,749,6,8.14611111111111,,61,32,32,8,1
CALCITE-6769,Task,Minor,374,2,163.76416666666665,5.8278566666666665,3,3,3,3,1
CALCITE-6766,Bug,Minor,156,2,24.28472222222222,,6,10,6,3,1
CALCITE-6764,Bug,Minor,679,9,253.91027777777776,,332,41,41,16,2
CALCITE-6762,Bug,Major,856,3,95.2725,,37,0,0,2,1
CALCITE-6761,Improvement,Major,464,3,46.47083333333333,,45,0,0,2,1
CALCITE-6760,Improvement,Minor,109,4,82.0286111111111,,55,19,19,4,1
CALCITE-6759,Bug,Critical,507,7,108.33194444444445,,123,10,10,8,2
CALCITE-6758,Improvement,Minor,475,2,126.71194444444444,,9,12,9,1,1
CALCITE-6756,Bug,Major,418,3,471.80583333333334,,41,0,0,2,1
CALCITE-6754,Improvement,Minor,192,2,382.64666666666665,373.6633394444445,4,16,4,2,1
CALCITE-6751,Bug,Minor,342,2,266.2336111111111,,61,3,3,4,1
CALCITE-6749,Improvement,Major,1096,2,281.43555555555554,,79,34,34,4,1
CALCITE-6747,Bug,Major,845,5,823.7588888888889,,2,0,0,1,1
CALCITE-6746,Bug,Minor,1323,2,65.75916666666667,,34,0,0,3,1
CALCITE-6745,Bug,Major,1334,5,373.815,48.2097225,24,4,4,2,1
CALCITE-6744,Improvement,Critical,1436,5,604.0511111111111,,53,4,4,2,1
CALCITE-6742,Bug,Minor,909,2,115.13388888888889,,100,7,7,4,1
CALCITE-6741,Bug,Minor,1115,10,91.42444444444445,,79,27,27,3,1
