issue_id,issue_type,priority,description_length,num_comments,time_to_resolve_hours,time_in_progress_hours,lines_added,lines_deleted,lines_updated_est,total_files_changed,num_commits
IVY-1338,Bug,Major,445,3,263.9347222222222,,3,1,1,2,1
IVY-1336,Bug,Major,2584,5,47954.50777777778,,180,8,8,5,3
IVY-1335,Bug,Major,5469,1,261.065,,3,1,1,2,1
IVY-1333,Bug,Major,2363,8,1512.8922222222222,,231,17,17,8,2
IVY-1330,Bug,Minor,380,2,259.4530555555556,,2,2,2,1,1
IVY-1329,Bug,Major,371,1,259.48027777777776,,33,13,13,3,1
IVY-1328,Bug,Major,310,1,8.614722222222222,,13,1,1,3,1
IVY-1325,Bug,Major,3087,3,204.4638888888889,,1,0,0,1,1
IVY-1324,Bug,Major,3998,4,1398.1997222222221,,48,11,11,7,1
IVY-1321,Bug,Major,618,12,55551.186944444446,,60,8,8,2,1
IVY-1320,Bug,Major,0,6,2205.4733333333334,,1,1,1,1,1
IVY-1315,Bug,Minor,606,5,55474.56361111111,0.21033416666666666,142,15,15,4,1
IVY-1313,Bug,Major,2010,2,4490.337222222222,,266,16,16,16,1
IVY-1312,New Feature,Major,124,0,0.06638888888888889,,447,1,1,10,1
IVY-1309,Bug,Major,945,3,5878.9047222222225,,22,15,15,2,1
IVY-1305,Bug,Major,1531,1,38.84361111111111,,12,2,2,2,1
IVY-1304,Bug,Major,1776,2,128.62194444444444,,16,8,8,1,1
IVY-1301,Bug,Major,0,1,1.0975,0.001623888888888889,272,47,47,8,2
IVY-1300,Bug,Critical,1798,6,8472.406388888889,,332,20,20,12,3
IVY-1299,Bug,Major,0,2,0.20305555555555554,0.05827361111111111,107,7,7,6,2
IVY-1294,Improvement,Minor,302,4,97.32694444444445,,29,0,0,2,1
IVY-1292,Bug,Minor,346,2,63.924166666666665,,14,0,0,2,1
IVY-1288,New Feature,Major,684,3,11620.6525,,60,11,11,5,2
IVY-1287,Bug,Major,672,1,356.34222222222223,,169,99,99,7,1
IVY-1282,Bug,Major,1978,0,60893.39,,3,7,3,3,1
IVY-1281,Improvement,Major,97,7,581.945,,448,236,236,18,2
IVY-1273,Improvement,Minor,253,2,9287.286944444444,,13,9,9,7,1
IVY-1272,Bug,Minor,1035,1,174.77527777777777,,56,7,7,3,1
IVY-1269,Bug,Minor,1709,2,48.32972222222222,,5,1,1,4,1
IVY-1268,Bug,Minor,1903,5,774.6236111111111,,124,16,16,4,1
IVY-1267,Improvement,Minor,2332,2,9.790833333333333,,29,21,21,4,2
IVY-1266,Bug,Minor,301,1,2059.0755555555556,,8,6,6,2,1
IVY-1265,Bug,Minor,138,1,2059.34,,2,1,1,2,1
IVY-1263,Bug,Minor,114,1,10483.748333333333,,2,0,0,2,1
IVY-1262,Improvement,Minor,623,1,265.8488888888889,,37,3,3,5,1
IVY-1253,Bug,Major,2871,5,366.8019444444444,,31,49,31,7,3
IVY-1252,New Feature,Minor,3337,2,14925.472777777777,,184,32,32,11,4
IVY-1250,Bug,Major,1129,0,383.0416666666667,,2,1,1,2,1
IVY-1249,Task,Major,48,2,59544.65861111111,,37,12,12,9,4
IVY-1248,Bug,Minor,2520,3,214.45277777777778,,156,45,45,3,1
IVY-1243,Bug,Major,326,0,0.14194444444444446,,18,6,6,4,1
IVY-1241,New Feature,Major,230,2,1413.7625,,1307,3135,1307,64,4
IVY-1240,Bug,Major,708,1,0.4683333333333333,,208,6,6,15,1
IVY-1238,Bug,Major,1875,1,5.954444444444444,,91,5,5,5,1
IVY-1237,Bug,Major,646,1,49.856944444444444,,5,4,4,5,1
IVY-1236,Bug,Major,4391,3,2155.2119444444443,,157,6,6,9,1
IVY-1235,Improvement,Minor,689,4,3191.493611111111,,241,29,29,7,1
IVY-1234,Bug,Critical,5592,3,26.071944444444444,,44,2,2,2,1
IVY-1233,Bug,Major,1971,15,8095.581388888889,,283,30,30,14,2
IVY-1232,Bug,Blocker,692,1,1.1086111111111112,,7,0,0,2,1
IVY-1230,Bug,Minor,343,1,5.044444444444444,,3,2,2,2,1
IVY-1229,Bug,Major,784,3,7764.893055555555,,166,56,56,7,1
IVY-1227,Bug,Major,1776,2,850.7955555555556,,133,8,8,11,5
IVY-1225,Bug,Major,4245,1,199.6913888888889,,10,1,1,2,1
IVY-1222,Improvement,Major,561,1,5.685,,257,265,257,18,1
IVY-1216,Improvement,Major,338,3,51.878055555555555,,76,78,76,19,1
IVY-1215,Improvement,Major,116,1,149.7525,,28,0,0,5,1
IVY-1214,Improvement,Trivial,950,2,80.07833333333333,,10,1,1,2,1
IVY-1213,Bug,Major,3683,1,13979.209166666667,,36,7,7,4,1
IVY-1212,Bug,Minor,1156,1,56.16138888888889,,11,3,3,2,1
IVY-1211,Improvement,Critical,1068,1,285.5738888888889,,25,8,8,3,1
IVY-1208,Improvement,Minor,728,4,6001.565833333333,,124,0,0,1,1
IVY-1207,Bug,Major,288,2,109.29305555555555,,58,0,0,3,1
IVY-1206,Bug,Major,1318,7,12875.949166666667,,262,1,1,7,1
IVY-1203,Bug,Major,333,2,21.626944444444444,,61,1,1,4,1
IVY-1200,New Feature,Minor,0,0,191.65055555555554,,54,10,10,4,1
IVY-1199,Bug,Major,164,1,62.96666666666667,,12,5,5,6,1
IVY-1194,Bug,Blocker,14648,8,35.463055555555556,,177,108,108,10,3
IVY-1190,Improvement,Major,205,1,0.24,,3,2,2,2,1
IVY-1186,Bug,Major,1142,1,1192.8802777777778,,193,13,13,13,1
IVY-1180,New Feature,Major,157,2,39.49444444444445,,32,0,0,8,2
IVY-1179,Bug,Minor,3399,5,532.6019444444445,,216,5,5,9,1
IVY-1178,Bug,Major,1293,8,131.1472222222222,,318,7,7,20,2
IVY-1177,Bug,Major,720,1,18.57638888888889,,20,1,1,3,2
IVY-1175,Bug,Minor,402,5,106.56083333333333,,487,8,8,5,1
IVY-1172,Bug,Major,314,1,22.35638888888889,,140,139,139,13,1
IVY-1171,Bug,Major,159,3,0.11305555555555556,,58,8,8,5,4
IVY-1170,Bug,Major,974,4,2639.075,,54,1,1,3,1
IVY-1169,Bug,Major,339,2,35.869166666666665,,54,0,0,4,1
IVY-1168,Bug,Minor,2291,7,336.94638888888886,,89,34,34,5,1
IVY-1167,Bug,Major,1091,2,79.39361111111111,,12,5,5,2,1
IVY-1165,Bug,Major,894,4,167.12444444444444,,11,2,2,3,2
IVY-1163,Improvement,Minor,559,2,15.433055555555555,,52,0,0,3,1
IVY-1162,Bug,Major,2573,3,13.709722222222222,,16,7,7,2,1
IVY-1159,Bug,Major,5165,7,3657.9183333333335,,314,22,22,14,1
IVY-1158,New Feature,Minor,883,2,101.10416666666667,,23,4,4,5,1
IVY-1155,Bug,Major,739,2,0.9319444444444445,,19,2,2,7,2
IVY-1152,Bug,Major,588,4,8.519166666666667,,4,9,4,3,2
IVY-1151,Improvement,Minor,105,2,227.94611111111112,,6,1,1,3,2
IVY-1150,Bug,Major,571,2,19.191111111111113,,10,7,7,2,1
IVY-1148,Bug,Major,2119,9,114.86638888888889,,11,6,6,2,2
IVY-1147,Bug,Major,3114,1,3.874722222222222,,12,15,12,2,1
IVY-1145,Bug,Major,586,2,13.976111111111111,,54,52,52,2,1
IVY-1142,Bug,Major,1612,5,58.46666666666667,,17,0,0,3,1
IVY-1139,Improvement,Minor,431,1,73.30416666666666,,1,1,1,1,1
IVY-1138,Improvement,Major,396,2,67.17027777777778,,101,1,1,8,1
IVY-1135,Improvement,Major,225,6,192.77666666666667,,110,24,24,9,2
IVY-1133,Bug,Major,803,1,482.56138888888887,,2,27,2,2,1
IVY-1131,Bug,Major,283,1,624.2566666666667,,94,7,7,4,1
IVY-1128,Bug,Major,441,6,192.28527777777776,,287,20,20,13,2
IVY-1124,Bug,Major,5360,2,305.66083333333336,,4,0,0,2,1
IVY-1123,Bug,Trivial,3020,1,494.0202777777778,,18,17,17,13,1
IVY-1120,Bug,Major,744,3,509.62166666666667,,4,3,3,2,1
IVY-1119,Bug,Minor,174,1,560.6922222222222,,3,1,1,2,1
IVY-1118,Bug,Minor,983,1,1233.0116666666668,,125,37,37,3,2
IVY-1115,Bug,Minor,5206,7,1639.6469444444444,,658,7,7,25,2
IVY-1111,Bug,Major,2554,2,1036.1066666666666,,257,2,2,9,1
IVY-1109,Bug,Trivial,1947,1,2.8005555555555555,,2,1,1,2,1
